"Stock Status","Stock Status"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"First (show at the top)","First (show at the top)"
"Last (show at the bottom)","Last (show at the bottom)"
"After selected attribute","After selected attribute"
"Custom position (enter number)","Custom position (enter number)"
"Enable Stock Status Filter","Enable Stock Status Filter"
"Adds stock status filter to layered navigation","Adds stock status filter to layered navigation"
"Filter Title","Filter Title"
"URL Parameter Name","URL Parameter Name"
"URL parameter name for stock status filter. Default: <strong>stock_status</strong>","URL parameter name for stock status filter. Default: <strong>stock_status</strong>"
"Available Stock Status Options","Available Stock Status Options"
"Select which stock status options to display in filter","Select which stock status options to display in filter"
"Filter Position","Filter Position"
"Place After Attribute","Place After Attribute"
"Sort Order","Sort Order"
"Filter Mode","Filter Mode"
"Single select (radio)","Single select (radio)"
"Multi select (checkbox)","Multi select (checkbox)"
"Select filter behavior: single select (radio) or multi select (checkbox)","Select filter behavior: single select (radio) or multi select (checkbox)"
